python3-charset-normalizer	3.4.7-2	amd64
python3-click	8.3.3-2	all
python3-colorama	0.4.6-5	all
python3-colorclass	2.2.2-10	all
python3-cryptography	47.0.0-1	amd64
python3-dateutil	2.9.0-5	all
python3-decorator	5.2.1-2	all
python3-deprecated	1.3.1-1	all
python3-dnspython	2.8.0-5	all
python3-dotenv	1.2.1-2	all
python3-dsinternals	1.2.4+git20230301.edb3fc8-0kali1	all
python3-easygui	0.98.3-1	all
python3-email-validator	2.2.0-1	all
python3-fastapi	0.135.3-1	all
python3-filelock	3.32.2-1	all
python3-flask	3.1.3-4	all
python3-frozenlist	1.8.0-3	amd64
python3-greenlet	3.3.2-4	amd64
python3-gssapi	1.11.1-2	amd64
python3-h11	0.16.0-2	all
python3-httpcore	1.0.9-1	all
python3-httpx	0.28.1-1.1	all
python3-httpx-sse	0.4.3-3	all
python3-idna	3.18-1	all
python3-impacket	0.13.0+git20251120-9c2d8b6-0kali1	all
python3-inflect	7.5.0-2	all
python3-invoke	3.0.3+ds-1	all
python3-itsdangerous	2.2.0-3	all
python3-jaraco.context	6.0.1-2	all
python3-jaraco.functools	4.1.0-1	all
python3-jinja2	3.1.6-3	all
python3-jsonschema	4.26.0-2	all
python3-jsonschema-specifications	2023.12.1-6	all
python3-jwt	2.13.0-1	all
python3-krb5	0.9.0-1+b1	amd64
python3-ldap3	2.9.1-2	all
python3-ldapdomaindump	0.9.4-2	all
python3-legacy-cgi	2.6.4-3	all
python3-limits	4.4.1-3	all
python3-linkify-it	2.1.0-2	all
python3-loguru	0.7.3-5	all
python3-lsassy	3.1.11-0kali1	all
python3-lxml	6.1.0-1	amd64
python3-magic	2:0.4.27-6	all
python3-markdown-it	4.2.0-3	all
python3-markupsafe	3.0.3-2	amd64
python3-masky	0.2.1-0kali1	all
python3-mcp	1.26.0-0kali1	all
python3-mdurl	0.1.2-1	all
python3-minidump	0.0.21-0kali1	all
python3-minikerberos	0.4.4-0kali2	all
python3-minimal	3.14.6-1	amd64
python3-more-itertools	11.1.0-1	all
python3-msgpack	1.1.2-4	amd64
python3-msldap	0.5.10-0kali1	all
python3-msoffcrypto-tool	6.0.0-1	all
python3-multidict	6.4.3-2	amd64
python3-nacl	1.6.2-3	amd64
python3-nassl	5.4.0-0kali3	amd64
python3-neo4j	5.2.1-0kali2	all
python3-neobolt	1.7.17-0kali1	all
python3-neotime	1.7.4-0kali2	all
python3-netaddr	1.3.0-2	all
python3-netifaces	0.11.0-2+b7	amd64
python3-olefile	0.47-1	all
python3-openssl	26.2.0-1	all
python3-oscrypto	1.3.0-7	all
python3-packaging	26.2-2	all
python3-paramiko	4.0.0-4	all
python3-pcodedmp	1.2.6-0kali1	all
python3-pil	12.3.0-1	amd64
python3-pkg-resources	78.1.1-0.1	all
python3-playwright	1.55.0+ds-2	all
python3-prompt-toolkit	3.0.53-1	all
python3-propcache	0.5.2-2	amd64
python3-pyasn1	0.6.4-1	all
python3-pyasn1-modules	0.4.1-2	all
python3-pycares	5.0.1-3	amd64
python3-pycryptodome	3.20.0+dfsg-3	amd64
python3-pycurl	7.47.0-2	amd64
python3-pydantic	2.13.4-3	amd64
python3-pydantic-core	2.46.4-3	amd64
python3-pydantic-settings	2.14.2-1	all
python3-pyee	13.0.0-2	all
python3-pygments	2.20.0+dfsg-2	all
python3-pylnk3	0.4.3-0kali1	all
python3-pylsqpack	0.3.23-1	amd64
python3-pyparsing	3.3.2-2	all
python3-pyperclip	1.11.0-1	all
python3-pypsrp	0.8.1-0kali4	all
python3-pypykatz	0.6.13-0kali1	all
python3-pyspnego	0.10.2-4	all
python3-python-multipart	0.0.26-1	all
python3-python-socks	2.8.1-2	all
python3-pytz	2025.2-7	all
python3-pywerview	0.3.3-0kali1	all
python3-referencing	0.37.0+~2025.1.1-3	all
python3-requests	2.32.5+dfsg-2	all
python3-requests-file	3.0.1-1	all
python3-retrying	1.4.2-3	all
python3-rich	15.0.0-1	all
python3-rpds-py	0.30.0-2	amd64
python3-service-identity	26.1.0-2	all
python3-shellingham	1.5.4-1	all
python3-shodan	1.31.0-2	all
python3-six	1.17.0-3	all
python3-slowapi	0.1.10-1	all
python3-soupsieve	2.8.4-1	all
python3-sse-starlette	3.4.6-1	all
python3-stamina	26.1.0+dfsg-1	all
python3-starlette	1.3.1-1	all
python3-tabulate	0.10.0-1	all
python3-tenacity	9.1.4-2	all
python3-termcolor	2.4.0-3	all
python3-terminaltables3	4.0.0-9	all
python3-tk	3.14.6-1	amd64
python3-tldextract	5.3.1-2	all
python3-tls-parser	1.2.2-0kali1	all
python3-tqdm	4.69.0-1	all
python3-typeguard	4.4.4-3	all
python3-typer	0.20.0-1	all
python3-typing-extensions	4.16.0-4	all
python3-typing-inspection	0.4.4-1	all
python3-uc-micro	2.0.0-1	all
python3-ujson	5.13.0-1	amd64
python3-unicrypto	0.0.12-1	all
python3-urllib3	2.7.0-3	all
python3-uvicorn	0.38.0-1	all
python3-uvloop	0.22.1+ds1-3	amd64
python3-wcwidth	0.2.14+dfsg1-2	all
python3-werkzeug	3.1.8-1	all
python3-winacl	0.1.9-0kali2	all
python3-wrapt	2.1.1-2	amd64
python3-wsproto	1.3.2-3	all
python3-xlsxwriter	3.1.9-2	all
python3-xmltodict	1.0.3-1.1	all
python3-yaml	6.0.3-1	amd64
python3-yarl	1.23.0-2	amd64
python3.13-tk	3.13.14-1	amd64
python3.14	3.14.6-1	amd64
python3.14-minimal	3.14.6-1	amd64
python3.14-tk	3.14.6-1	amd64
racc	1.8.1-2	all
rake	13.4.2-1	all
readline-common	8.3-4	all
responder	3.2.2.0-0kali1	all
rpcsvc-proto	1.4.4-1	amd64
ruby	1:3.3+b1	amd64
ruby-activesupport	2:7.2.3.2+dfsg-2	all
ruby-addressable	2.9.0-1	all
ruby-base64	0.3.0-1	all
ruby-bundler	4.0.18-1	all
ruby-cms-scanner	0.15.0-0kali4	all
ruby-concurrent	1.3.8-1	all
ruby-connection-pool	3.0.2-2	all
ruby-csv	3.3.5-1	all
ruby-did-you-mean	2.0.0-1	all
ruby-ethon	0.18.0-2	all
ruby-ferrum	0.17.2-2	all
ruby-ffi	1.17.4+dfsg-1	amd64
ruby-get-process-mem	1.0.0-1	all
ruby-i18n	1.15.2-1	all
ruby-ipaddress	0.8.3-6	all
ruby-json	2.21.2+dfsg-1	amd64
ruby-mime-types	3.7.0-1	all
ruby-mime-types-data	3.2026.0701-1	all
ruby-mini-portile2	2.8.9-2	all
ruby-minitest	6.0.6-2	all
ruby-net-telnet	0.2.0-1	all
ruby-nokogiri	1.19.4+dfsg-1	amd64
ruby-opt-parse-validator	1.10.1-0kali2	all
ruby-pkg-config	1.6.5-1	all
ruby-progressbar	1.13.0-2	all
ruby-public-suffix	7.0.5-1	all
ruby-ruby2-keywords	0.0.5-1	all
ruby-rubygems	4.0.18-1	all
ruby-sys-proctable	1.3.0-1	all
ruby-typhoeus	1.6.0-1	all
ruby-tzinfo	2.0.6-2	all
ruby-webrick	1.9.2-2	all
ruby-websocket-driver	0.8.2-1	amd64
ruby-websocket-extensions	0.1.5-2	all
ruby-xmlrpc	0.3.3-2	all
ruby-yajl	1.4.3-2	amd64
ruby3.3	3.3.8-2.2	amd64
rubygems-integration	1.20.1	all
